cas_number,inchi_key,models,name,pair_id,procurement_verified,smiles
22833-90-5,OYAQFAPAKGNWSQ-CMDGGOBGSA-N,"[""unifac_dortmund""]","1,3-hexadiene, 2-(dimethylethyl)-5,5-dimethyl-, (e)-",water-OYAQFAPAKGNWSQ-CMDGGOBGSA-N,False,C=C(/C=C/C(C)(C)C)C(C)(C)C
22858-74-8,OXUBYKXQGDQVQR-UHFFFAOYSA-N,"[""unifac_dortmund""]",3-cyclohexene-1-propanal,water-OXUBYKXQGDQVQR-UHFFFAOYSA-N,False,O=CCCC1CC=CCC1
2287-57-2,ICBCULSDMSBNNZ-UHFFFAOYSA-N,"[""unifac_dortmund""]",methyl bicyclo(2.2.1)heptane-1-carboxylate,water-ICBCULSDMSBNNZ-UHFFFAOYSA-N,False,COC(=O)C12CCC(CC1)C2
22874-80-2,FSTRNYPZAMXNTC-UHFFFAOYSA-N,"[""unifac_dortmund""]",4-pentenoic acid butyl ester,water-FSTRNYPZAMXNTC-UHFFFAOYSA-N,False,C=CCCC(=O)OCCCC
2288-18-8,IMJGQTCMUZMLRZ-UHFFFAOYSA-N,"[""unifac_dortmund""]","benzene, (1-methylene-2-propenyl)-",water-IMJGQTCMUZMLRZ-UHFFFAOYSA-N,False,C=CC(=C)c1ccccc1
22885-98-9,JGAAAWQBYJNOIW-UHFFFAOYSA-N,"[""unifac_dortmund""]",methyltetronic acid,water-JGAAAWQBYJNOIW-UHFFFAOYSA-N,False,CC1OC(=O)C=C1O
22907-72-8,GMUJGUXGVJZHSK-UHFFFAOYSA-N,"[""unifac_dortmund""]","1,4-diisopropyl cyclohexane",water-GMUJGUXGVJZHSK-UHFFFAOYSA-N,False,CC(C)C1CCC(C(C)C)CC1
22921-10-4,ZHNNNPIVFOUVOO-UHFFFAOYSA-N,"[""unifac_dortmund""]",1-isopropoxy-4-methylbenzene,water-ZHNNNPIVFOUVOO-UHFFFAOYSA-N,False,Cc1ccc(OC(C)C)cc1
22954-83-2,NHUXODGJQOPQHG-UHFFFAOYSA-N,"[""unifac_dortmund""]",22954-83-2,water-NHUXODGJQOPQHG-UHFFFAOYSA-N,False,CC1=CC(C)(C)OC(=O)C1
22975-58-2,HFPPJNVUPMBSBN-UHFFFAOYSA-N,"[""unifac_dortmund""]",22975-58-2,water-HFPPJNVUPMBSBN-UHFFFAOYSA-N,False,CCC(CC)c1ccc(C)cc1
22980-23-0,QAVYTTBRXJVSNJ-UHFFFAOYSA-N,"[""unifac_dortmund""]",2-oxabicyclo[2.2.0]hex-5-en-3-one,water-QAVYTTBRXJVSNJ-UHFFFAOYSA-N,False,O=C1OC2C=CC12
2305-05-7,WGPCZPLRVAWXPW-UHFFFAOYSA-N,"[""unifac_dortmund""]",gamma-dodecalactone,water-WGPCZPLRVAWXPW-UHFFFAOYSA-N,False,CCCCCCCCC1CCC(=O)O1
2305-25-1,LYRIITRHDCNUHV-UHFFFAOYSA-N,"[""unifac_dortmund""]",ethyl 3-hydroxyhexanoate,water-LYRIITRHDCNUHV-UHFFFAOYSA-N,False,CCCC(O)CC(=O)OCC
23051-84-5,VDFGUEPMNNLWOZ-UHFFFAOYSA-N,"[""unifac_dortmund""]","5-tridecene, (5z)-",water-VDFGUEPMNNLWOZ-UHFFFAOYSA-N,False,CCCCC=CCCCCCCC
23057-35-4,NCQNMEMRZWQKGX-UHFFFAOYSA-N,"[""unifac_dortmund""]",bicyclo[4.2.1]non-1(8)-ene,water-NCQNMEMRZWQKGX-UHFFFAOYSA-N,False,C1=C2CCCCC(C1)C2
23057-36-5,BFHUIVOGLJUQID-UHFFFAOYSA-N,"[""unifac_dortmund""]",bicyclo[4.2.1]non-1(2)-ene,water-BFHUIVOGLJUQID-UHFFFAOYSA-N,False,C1=C2CCC(CCC1)C2
2306-91-4,XDOGFYDZGUDBQY-UHFFFAOYSA-N,"[""unifac_dortmund""]",isoamyl decanoate,water-XDOGFYDZGUDBQY-UHFFFAOYSA-N,False,CCCCCCCCCC(=O)OCCC(C)C
23063-31-2,ASCFKFSNSITADI-UHFFFAOYSA-N,"[""unifac_dortmund""]","cyclopropene, 1,2-dimethyl-3-phenyl-",water-ASCFKFSNSITADI-UHFFFAOYSA-N,False,CC1=C(C)C1c1ccccc1
23068-91-9,YOFAONQHOIRLCQ-UHFFFAOYSA-N,"[""unifac_dortmund""]","methyl 5,5-dimethoxyvalerate",water-YOFAONQHOIRLCQ-UHFFFAOYSA-N,False,COC(=O)CCCC(OC)OC
23070-53-3,YWYIHWJAVXCTFB-UHFFFAOYSA-N,"[""unifac_dortmund""]",ctk0j5867,water-YWYIHWJAVXCTFB-UHFFFAOYSA-N,False,CC1=CCCCCCCCCCC1
23079-65-4,UCEBQYXBQBLMSB-UHFFFAOYSA-N,"[""unifac_dortmund""]",surecn3894255,water-UCEBQYXBQBLMSB-UHFFFAOYSA-N,False,CCCCOc1cccc(C)c1
2308-18-1,XHRGPLDMNNGHCX-UHFFFAOYSA-N,"[""unifac_dortmund""]",isoamyl acetoacetate,water-XHRGPLDMNNGHCX-UHFFFAOYSA-N,False,CC(=O)CC(=O)OCCC(C)C
2308-38-5,TWBUVVYSQBFVGZ-UHFFFAOYSA-N,"[""unifac_dortmund""]",tert-butyl butanoate,water-TWBUVVYSQBFVGZ-UHFFFAOYSA-N,False,CCCC(=O)OC(C)(C)C
23086-43-3,ORKBJNQAFQMOGC-NSCUHMNNSA-N,"[""unifac_dortmund""]","2-hexene, 6-phenyl-",water-ORKBJNQAFQMOGC-NSCUHMNNSA-N,False,C/C=C/CCCc1ccccc1
230969-99-0,SOOBJWBRPWEOMW-UHFFFAOYSA-N,"[""unifac_dortmund""]",1-propoxydodecane,water-SOOBJWBRPWEOMW-UHFFFAOYSA-N,False,CCCCCCCCCCCCOCCC
2311-46-8,JSHDAORXSNJOBA-UHFFFAOYSA-N,"[""unifac_dortmund""]",isopropyl hexanoate,water-JSHDAORXSNJOBA-UHFFFAOYSA-N,False,CCCCCC(=O)OC(C)C
2311-59-3,PKPPDYGHKDIKBH-UHFFFAOYSA-N,"[""unifac_dortmund""]",isopropyl decanoate,water-PKPPDYGHKDIKBH-UHFFFAOYSA-N,False,CCCCCCCCCC(=O)OC(C)C
2313-01-1,WWAGWEFPCZVKGN-UHFFFAOYSA-N,"[""unifac_dortmund""]","2(3h)-furanone, 5-ethyl-",water-WWAGWEFPCZVKGN-UHFFFAOYSA-N,False,CCC1=CCC(=O)O1
2313-65-7,IRLSKJITMWPWNY-UHFFFAOYSA-N,"[""unifac_dortmund""]","2-hexanol, 3-methyl-",water-IRLSKJITMWPWNY-UHFFFAOYSA-N,False,CCCC(C)C(C)O
2313-68-0,IOTAYCLTDJEUCF-UHFFFAOYSA-N,"[""unifac_dortmund""]","2,2-dimethylpropionic acid, pentyl ester",water-IOTAYCLTDJEUCF-UHFFFAOYSA-N,False,CCCCCOC(=O)C(C)(C)C
2315-68-6,UDEWPOVQBGFNGE-UHFFFAOYSA-N,"[""unifac_dortmund""]",propyl benzoate,water-UDEWPOVQBGFNGE-UHFFFAOYSA-N,False,CCCOC(=O)c1ccccc1
